task_lang,transfer_lang,accuracy,f1_score,transfer_language,genetic,geographic
anka1246,thai1261,0.2072072072072072,0.1301587586921807,tha,1.0,0.2169
east2379,thai1261,0.2454545454545454,0.1477203647416413,tha,1.0,0.2201
ambu1247,thai1261,0.2545454545454545,0.1302329877387027,tha,1.0,0.2011
cent2084,thai1261,0.2962962962962963,0.1704017767009893,tha,1.0,0.0939
ango1254,thai1261,0.2432432432432432,0.1565878378378378,tha,1.0,0.194
achi1256,thai1261,0.2522522522522522,0.1052563354721628,tha,1.0,0.5017
inab1237,thai1261,0.2702702702702703,0.1394970728304061,tha,1.0,0.1037
abau1245,thai1261,0.2612612612612612,0.1226393059726393,tha,1.0,0.1949
anem1248,thai1261,0.2761904761904762,0.1615549414723507,tha,1.0,0.231
sain1246,thai1261,0.2792792792792792,0.1605561605561605,tha,1.0,0.4971
agut1237,thai1261,0.2882882882882883,0.1581032904562316,tha,1.0,0.0858
amar1273,thai1261,0.2592592592592592,0.1075445816186556,tha,1.0,0.1503
anga1290,thai1261,0.1891891891891892,0.1129182960168875,tha,1.0,0.219
agua1253,thai1261,0.2612612612612612,0.1253451031676838,tha,1.0,0.5209
arif1239,thai1261,0.2612612612612612,0.1324100271468692,tha,1.0,0.2327
cent2084,dani1285,0.3148148148148148,0.285062599641856,dan,1.0,0.3567
anga1290,dani1285,0.1441441441441441,0.0363197843512804,dan,1.0,0.4512
inab1237,dani1285,0.2702702702702703,0.217231219398402,dan,1.0,0.3754
agua1253,dani1285,0.2612612612612612,0.2177216177216177,dan,1.0,0.3732
agar1252,dani1285,0.1981981981981982,0.1364624812900675,dan,1.0,0.4488
abau1245,dani1285,0.2162162162162162,0.1606550757949022,dan,1.0,0.4388
anem1248,dani1285,0.2761904761904762,0.2308739590912765,dan,1.0,0.4585
sain1246,dani1285,0.2432432432432432,0.2210650237215702,dan,0.9247999787330627,0.2826
amar1273,dani1285,0.2592592592592592,0.2203042328042328,dan,1.0,0.4294
achu1248,dani1285,0.209090909090909,0.1821805006587615,dan,1.0,0.3656
east2379,dani1285,0.209090909090909,0.1498344792462439,dan,1.0,0.4683
arif1239,dani1285,0.2792792792792792,0.2020790972593629,dan,1.0,0.4581
achi1256,dani1285,0.2162162162162162,0.1639999082274124,dan,1.0,0.3422
ango1254,dani1285,0.1621621621621621,0.0704659577610397,dan,1.0,0.4381
anka1246,dani1285,0.1441441441441441,0.0363197843512804,dan,1.0,0.4506
ambu1247,dani1285,0.1181818181818181,0.0750380145541435,dan,1.0,0.4405
agua1252,dani1285,0.1727272727272727,0.1102272727272727,dan,1.0,0.3432
agut1237,dani1285,0.3243243243243243,0.2790418433684293,dan,1.0,0.373
amel1241,dani1285,0.1962616822429906,0.172080833739291,dan,1.0,0.4466
anem1248,taga1270,0.2571428571428571,0.1281443584473887,tgl,1.0,0.1589
agut1237,taga1270,0.3963963963963964,0.2779033579033579,tgl,0.6161999702453613,0.0187
amel1241,taga1270,0.1869158878504672,0.1239680949542854,tgl,1.0,0.1375
agua1253,taga1270,0.2882882882882883,0.1820060863539124,tgl,1.0,0.5127
achi1256,taga1270,0.1981981981981982,0.1289960135241442,tgl,1.0,0.4831
east2379,taga1270,0.2636363636363636,0.2118300625059798,tgl,1.0,0.1757
amar1273,taga1270,0.25,0.1694148316656011,tgl,0.7531999945640564,0.1101
sain1246,taga1270,0.3513513513513513,0.2979322745801233,tgl,1.0,0.5037
ango1254,taga1270,0.2702702702702703,0.1919073500405003,tgl,1.0,0.1182
achu1248,taga1270,0.2272727272727272,0.1368332232739012,tgl,1.0,0.5121
arif1239,taga1270,0.3153153153153153,0.2281281281281281,tgl,0.7531999945640564,0.1597
anka1246,taga1270,0.1441441441441441,0.0787674396076496,tgl,1.0,0.143
anga1290,taga1270,0.1441441441441441,0.094301690853415,tgl,1.0,0.1448
cent2084,taga1270,0.324074074074074,0.2157480958451832,tgl,0.7179999947547913,0.0179
inab1237,taga1270,0.3603603603603603,0.2770706190061028,tgl,0.6614000201225281,0.0131
agar1252,taga1270,0.2342342342342342,0.1006339673006339,tgl,1.0,0.1408
ambu1247,taga1270,0.2727272727272727,0.1314194577352471,tgl,1.0,0.1245
agua1252,taga1270,0.2272727272727272,0.1569528619528619,tgl,1.0,0.4816
abau1245,taga1270,0.2792792792792792,0.1552711068840101,tgl,1.0,0.1194
amel1241,tami1289,0.1495327102803738,0.136059911251319,tam,1.0,0.2899
agut1237,tami1289,0.2342342342342342,0.1902254144901204,tam,1.0,0.178
agua1253,tami1289,0.3243243243243243,0.2881365140451813,tam,1.0,0.5105
abau1245,tami1289,0.2162162162162162,0.1180959103119346,tam,1.0,0.2729
cent2084,tami1289,0.2685185185185185,0.2187330440338596,tam,1.0,0.1871
agar1252,tami1289,0.2432432432432432,0.1341341341341341,tam,1.0,0.2914
inab1237,tami1289,0.2162162162162162,0.164021164021164,tam,1.0,0.1959
arif1239,tami1289,0.2792792792792792,0.199076602068962,tam,1.0,0.3056
anka1246,tami1289,0.1531531531531531,0.0543156059285091,tam,1.0,0.2917
achi1256,tami1289,0.1981981981981982,0.1447394990486645,tam,1.0,0.5061
amar1273,tami1289,0.25,0.1846621142917439,tam,1.0,0.2164
east2379,tami1289,0.2727272727272727,0.2362323100742553,tam,1.0,0.2753
agua1252,tami1289,0.2,0.1556324535679374,tam,1.0,0.5062
sain1246,tami1289,0.3513513513513513,0.3132435511966429,tam,1.0,0.4756
anem1248,tami1289,0.3238095238095238,0.2488780996269475,tam,1.0,0.3035
anga1290,tami1289,0.2162162162162162,0.1405171405171405,tam,1.0,0.2938
ambu1247,tami1289,0.1818181818181818,0.1204545454545454,tam,1.0,0.279
ango1254,tami1289,0.1531531531531531,0.0549254172204991,tam,1.0,0.2722
achu1248,tami1289,0.2181818181818181,0.1611149560992821,tam,1.0,0.5091
agua1252,roma1327,0.209090909090909,0.1243041606886657,ron,1.0,0.3817
ango1254,roma1327,0.1441441441441441,0.037500915549696,ron,1.0,0.4258
agut1237,roma1327,0.2252252252252252,0.1678754256901335,ron,1.0,0.3518
inab1237,roma1327,0.2342342342342342,0.1894574146910595,ron,1.0,0.3572
arif1239,roma1327,0.2072072072072072,0.1802214913326024,ron,1.0,0.449
anga1290,roma1327,0.1441441441441441,0.0363197843512804,ron,1.0,0.4409
anka1246,roma1327,0.1441441441441441,0.0369009009009009,ron,1.0,0.44
ambu1247,roma1327,0.1636363636363636,0.095044289044289,ron,1.0,0.4291
agua1253,roma1327,0.1801801801801801,0.1254331254331254,ron,1.0,0.4015
anem1248,roma1327,0.2285714285714285,0.1943500054484036,ron,1.0,0.4489
amar1273,roma1327,0.1944444444444444,0.1397441885909542,ron,1.0,0.4068
achu1248,roma1327,0.1909090909090909,0.128560243584167,ron,1.0,0.395
achi1256,roma1327,0.2162162162162162,0.1291632629244952,ron,1.0,0.3805
agar1252,roma1327,0.1711711711711711,0.0994981066252065,ron,1.0,0.4385
sain1246,roma1327,0.2342342342342342,0.1781940803306098,ron,0.5803999900817871,0.3171
cent2084,roma1327,0.2314814814814814,0.1680776014109347,ron,1.0,0.3388
east2379,roma1327,0.2818181818181818,0.2223313777287403,ron,1.0,0.4498
amel1241,roma1327,0.1308411214953271,0.0740500130300159,ron,1.0,0.4364
abau1245,roma1327,0.1621621621621621,0.1021006366156221,ron,1.0,0.4265
ango1254,beng1280,0.1711711711711711,0.0512165709016102,ben,1.0,0.2464
