,Task lang,Aux lang,Accuracy,Rank,Accuracy level,Overlap word-level,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
28,pcm,ind,0.187,30,31,0.1092436974789916,5593,948,5.899789029535865,0.2927781145801758,0.0925206033276318,4.684904224426879,1.0,1.1952,1.0956,0.8335,0.4792,0.6076123700876971
29,pcm,ukr,0.0133,58,3,0.0100840336134453,5873,948,6.195147679324895,0.4399821508255243,0.0925206033276318,14.103814484514292,0.9139,1.2228,1.1461,0.7888,0.4933,0.25359686460241276
30,pcm,fas,0.1473,34,27,0.0042016806722689,5997,948,6.325949367088608,0.15688157524207,0.0925206033276318,0.4839140985616458,0.9273,1.237,1.1698,0.8383,0.5406,0.270686110735828
31,pcm,heb,0.118,41,20,0.0025210084033613,6216,948,6.556962025316456,0.4067013046511386,0.0925206033276318,11.531401597513856,1.0,1.2121,1.1602,0.8427,0.6375,0.20317060420077504
32,pcm,eus,0.228,21,40,0.0235294117647058,8993,948,9.486286919831224,0.3519527880166261,0.0925206033276318,7.8626834872387805,0.9654,1.2326,1.1811,0.8944,0.6143,0.1841260434741482
33,pcm,lav,0.0582,52,9,0.026890756302521,7703,948,8.125527426160337,0.37546297265061,0.0925206033276318,9.35231356770415,0.8886,1.2345,1.2467,0.8225,1.3345,0.2772516660043509
34,pcm,slv,0.1988,25,36,0.0512605042016806,8000,948,8.438818565400844,0.3676498731122853,0.0925206033276318,8.842940008793772,0.9139,1.2236,1.1668,0.8153,0.5215,0.20807682511261424
35,pcm,hrv,0.1898,29,32,0.0764705882352941,8889,948,9.376582278481012,0.2981575694863614,0.0925206033276318,4.939983104424799,0.9273,1.0634,0.9587,0.8153,0.5627,0.21438010780682
36,pcm,ron,0.2003,24,37,0.0840336134453781,9524,948,10.046413502109704,0.2570438554726763,0.0925206033276318,3.1621149904700023,0.932,1.1007,0.9759,0.9037,0.4584,0.22298934152633962
37,pcm,slk,0.1584,31,30,0.0369747899159663,10604,948,11.18565400843882,0.4130087201061381,0.0925206033276318,11.999052403471328,0.9139,1.0647,1.0526,1.2545,1.3345,0.22609044567098657
38,pcm,bul,0.0175,57,4,0.0033613445378151,11138,948,11.748945147679326,0.2891950325041875,0.0925206033276318,4.518755928482911,0.9214,1.1302,1.0,0.8632,0.5932,0.20818970795796787
