task_lang,transfer_lang,accuracy,f1_score,transfer_language,genetic,geographic
tang1347,stan1293,0.2972972972972973,0.2705039397343514,eng,1.0,0.4907
east2538,stan1293,0.2252252252252252,0.188520983704831,eng,1.0,0.3222
faiw1243,stan1293,0.1891891891891892,0.1380835380835381,eng,1.0,0.4564
sanj1285,stan1293,0.2432432432432432,0.1710068677810613,eng,1.0,0.3289
cavi1250,stan1293,0.1801801801801801,0.1335892191643865,eng,1.0,0.3539
sout2994,stan1293,0.160377358490566,0.0571065239250014,eng,1.0,0.3444
tetu1246,stan1293,0.2252252252252252,0.1656121198804125,eng,1.0,0.4441
maka1304,stan1293,0.1801801801801801,0.1104245824667379,eng,1.0,0.2197
boko1267,stan1293,0.1261261261261261,0.0744925838478133,eng,1.0,0.1929
ashe1273,stan1293,0.1743119266055046,0.0889370459231564,eng,1.0,0.3604
coat1241,stan1293,0.1351351351351351,0.0369600369600369,eng,1.0,0.3277
tzut1248,stan1293,0.2792792792792792,0.2292404292404292,eng,1.0,0.3262
safe1240,stan1293,0.1801801801801801,0.1317491535045923,eng,1.0,0.4635
obom1235,stan1293,0.2792792792792792,0.2087635861220766,eng,1.0,0.4083
west2615,stan1293,0.1621621621621621,0.0986095030158677,eng,1.0,0.3093
tawa1275,stan1293,0.1891891891891892,0.1452040275569687,eng,1.0,0.4733
zoog1238,stan1293,0.1801801801801801,0.0894663894663894,eng,1.0,0.3296
thai1262,stan1293,0.2342342342342342,0.1871992973649634,eng,0.9687,0.3157
yane1238,stan1293,0.2072072072072072,0.1605659522030889,eng,1.0,0.3619
gizr1240,stan1293,0.1958762886597938,0.1179470125263274,eng,1.0,0.4646
toll1241,stan1293,0.2342342342342342,0.1655886655886655,eng,1.0,0.3173
krio1252,stan1293,0.2702702702702703,0.2170594557691331,eng,0.20479999482631683,0.4753
kand1303,stan1293,0.1666666666666666,0.0959595348524568,eng,1.0,0.46
kutu1263,stan1293,0.2162162162162162,0.114760528553632,eng,1.0,0.2909
kama1370,stan1293,0.1441441441441441,0.0798930798930799,eng,1.0,0.4617
buga1250,stan1293,0.1743119266055046,0.098676971642346,eng,1.0,0.4639
quio1240,stan1293,0.1531531531531531,0.074343250813839,eng,1.0,0.3291
anga1292,stan1293,0.209090909090909,0.1528389546571364,eng,1.0,0.4594
kani1286,stan1293,0.2363636363636363,0.192763790121084,eng,1.0,0.4618
keny1279,stan1293,0.1801801801801801,0.1120852534681224,eng,1.0,0.2116
mari1428,stan1293,0.2792792792792792,0.237540911698215,eng,1.0,0.4598
indo1316,stan1293,0.5495495495495496,0.5370613323774915,eng,1.0,0.4185
chac1251,stan1293,0.1981981981981982,0.1418188017901073,eng,1.0,0.3507
haru1245,stan1293,0.1818181818181818,0.1141131961259079,eng,1.0,0.4581
cacu1241,stan1293,0.2,0.1673821211514058,eng,1.0,0.3194
tosk1239,stan1293,0.3243243243243243,0.2821364172715524,eng,0.8766999840736389,0.0845
mats1244,stan1293,0.2,0.1517022441160372,eng,1.0,0.344
ogea1238,stan1293,0.2342342342342342,0.1922137345379813,eng,1.0,0.46
zigu1244,stan1293,0.1981981981981982,0.1240641898418095,eng,1.0,0.2863
enga1252,stan1293,0.2342342342342342,0.176698567395572,eng,1.0,0.4583
rinc1236,stan1293,0.2522522522522522,0.1501733962013211,eng,1.0,0.3289
icel1247,stan1293,0.3063063063063063,0.2749060345161864,eng,0.7322999835014343,0.0642
hiri1237,stan1293,0.2342342342342342,0.1695467376139645,eng,1.0,0.4687
want1252,stan1293,0.2702702702702703,0.1846820261142511,eng,1.0,0.4622
siyi1240,stan1293,0.3243243243243243,0.2609777826092144,eng,1.0,0.31
guam1248,stan1293,0.1711711711711711,0.1154090168174675,eng,1.0,0.3289
seco1241,stan1293,0.2072072072072072,0.1101906661888813,eng,1.0,0.3352
tepe1280,stan1293,0.2342342342342342,0.1461212216232296,eng,1.0,0.329
bura1267,stan1293,0.1531531531531531,0.0713702137926118,eng,1.0,0.4618
arif1239,stan1293,0.2702702702702703,0.262160301223008,eng,1.0,0.4701
amel1241,stan1293,0.205607476635514,0.142536564760547,eng,1.0,0.4598
guhu1244,stan1293,0.1826923076923076,0.1097409092692111,eng,1.0,0.4663
meng1267,stan1293,0.2072072072072072,0.1379883862642483,eng,1.0,0.4646
bamb1270,stan1293,0.1981981981981982,0.1462894494268151,eng,1.0,0.4236
takw1238,stan1293,0.2162162162162162,0.1394283472325495,eng,1.0,0.3186
abau1245,stan1293,0.2342342342342342,0.2011792999170278,eng,1.0,0.4529
atat1238,stan1293,0.2342342342342342,0.2080637199827604,eng,1.0,0.3326
kapi1249,stan1293,0.2792792792792792,0.2570913875356967,eng,1.0,0.4536
auuu1241,stan1293,0.1531531531531531,0.1075604171579403,eng,1.0,0.4528
baki1244,stan1293,0.1261261261261261,0.0722279939147409,eng,1.0,0.4928
