task_lang,transfer_lang,accuracy,Rank,Accuracy level,Entity overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,genetic,syntactic,featural,phonological,inventory,geographic,morphological,hyper_genetic,scriptural,islands
jav,ita,0.68,4,50,0.0095207183814778,10000,9243,1.0818998160770312,1.0,0.6189,0.5615,0.3824,0.4456,0.3844,0.8226,3.072,0.0,0.10203460324639535
jav,kaz,0.65,38,16,0.0009737098344693,10000,9243,1.0818998160770312,1.0,0.6667,0.5354,0.0,,0.2533,,3.09,0.3776,0.10578882727036898
jav,kin,0.64,45,9,0.0121172779400627,864,9243,0.0934761441090555,1.0,0.4717,0.5073,0.5641,0.5009,0.3352,,3.111,0.0,0.09099985688646439
jav,kir,0.66,23,31,0.0009737098344693,10000,9243,1.0818998160770312,1.0,0.6875,0.5311,0.4407,0.5172,0.2347,,3.135,0.3776,0.10840127361544394
jav,kur,0.66,23,31,0.0542031807854592,4006,9243,0.4334090663204587,1.0,0.625,0.5272,0.47,0.5172,0.297,,2.97,0.3776,0.10686976803161952
jav,lao,0.63,51,3,0.0004327599264308,521,9243,0.0563669804176133,1.0,0.5106,0.4566,0.2163,0.4208,0.0808,0.7532,3.035,0.6185,0.046859439836427264
jav,mar,0.67,9,45,0.0,10000,9243,1.0818998160770312,1.0,0.6735,0.5504,0.3125,0.409,0.1707,0.879,3.139,0.6019,0.12626252791015624
jav,mlt,0.65,38,16,0.0202315265606404,1390,9243,0.1503840744347073,1.0,0.6183,0.5801,0.4327,0.46,0.3817,0.8446,3.07,0.0,0.0963804206661063
jav,mya,0.63,51,3,0.001081899816077,3282,9243,0.3550795196364817,1.0,0.6299,0.5322,0.4407,0.4176,0.1218,0.804,3.105,0.6185,0.1148933638372065
jav,msa,0.72,2,52,0.0336470842799956,10000,9243,1.0818998160770312,1.0,0.4304,0.4374,0.3824,0.4333,0.0452,0.4909,3.174,,0.04916835829418309
jav,nld,0.69,3,51,0.0106026181975549,10000,9243,1.0818998160770312,1.0,0.5119,0.5137,0.2804,0.4485,0.3957,0.9331,3.037,0.0,0.09954781976233373
jav,nya,0.64,45,9,0.0087633885102239,237,9243,0.0256410256410256,1.0,0.4576,0.4576,,,0.3252,,3.102,0.0,0.07849133403811259
jav,orm,0.65,38,16,0.0014064697609001,265,9243,0.0286703451260413,1.0,0.638,0.4714,0.5295,0.3871,0.2948,,3.137,0.0,0.10146866899882467
jav,pan,0.67,9,45,0.0001081899816077,7902,9243,0.8549172346640701,1.0,0.716,0.5405,0.303,0.3915,0.1999,0.786,3.076,0.5722,0.11449354454952176
jav,pol,0.67,9,45,0.0129827977929243,10000,9243,1.0818998160770312,1.0,0.5422,0.5486,0.3613,0.4931,0.3704,0.7421,3.143,0.0,0.13316231888731433
jav,por,0.67,9,45,0.0131991777561397,10000,9243,1.0818998160770312,1.0,0.5215,0.5023,0.303,0.4213,0.4198,0.817,3.068,0.0,0.0966433958683941
jav,ron,0.68,4,50,0.0312669046846262,10000,9243,1.0818998160770312,1.0,0.5582,0.4898,0.4717,0.4611,0.3583,,3.049,0.0,0.07167826369595154
jav,rus,0.64,45,9,0.0007573298712539,10000,9243,1.0818998160770312,1.0,0.6735,0.6305,0.5,0.5242,0.27,0.8446,3.021,0.3498,0.12489678734995946
jav,sna,0.66,23,31,0.0182841068917018,592,9243,0.0640484691117602,1.0,0.5231,0.5315,0.4717,0.501,0.3356,0.6703,3.053,0.0,0.11361425749617615
jav,som,0.65,38,16,0.0256410256410256,1246,9243,0.1348047170831981,1.0,0.5509,0.5464,0.5519,0.4438,0.2803,0.8408,3.117,0.0,0.10287152037567093
jav,spa,0.68,4,50,0.0110353781239857,10000,9243,1.0818998160770312,1.0,0.6082,0.5542,0.5354,0.5324,0.4149,,3.002,0.0,0.09413217603479962
jav,swa,0.67,9,45,0.1000757329871254,10000,9243,1.0818998160770312,1.0,0.49,0.4892,0.4407,0.4456,0.3077,0.6591,3.102,0.5335,0.10413376641616001
jav,swe,0.67,9,45,0.0129827977929243,10000,9243,1.0818998160770312,1.0,0.5681,0.5414,0.303,0.5072,0.3717,0.8378,3.1,0.1864,0.10535987144899406
jav,tam,0.66,23,31,0.0001081899816077,10000,9243,1.0818998160770312,1.0,0.7378,0.5752,0.3613,0.4456,0.151,0.817,3.059,0.6022,0.12766720335910087
jav,tel,0.68,4,50,0.0001081899816077,5991,9243,0.6481661798117494,1.0,0.723,0.5359,0.3613,0.4304,0.1607,0.7374,2.965,0.5096,0.1197552919157957
jav,tgk,0.66,23,31,0.0006491398896462,10000,9243,1.0818998160770312,1.0,0.625,0.625,,,0.2397,,3.1,0.3776,0.08365091779063549
jav,tgl,0.67,9,45,0.0439251325327274,10000,9243,1.0818998160770312,0.625,0.571,0.4955,0.303,0.4611,0.0825,0.5,2.998,0.405,0.08399031213738073
jav,tha,0.64,45,9,0.0002163799632154,10000,9243,1.0818998160770312,1.0,0.4883,0.4589,0.3613,0.4335,0.0813,0.641,3.129,0.6327,0.05468591470646689
jav,tir,0.64,45,9,0.0,81,9243,0.0087633885102239,1.0,0.6591,0.5435,0.5032,0.5235,0.3057,,3.121,0.572,0.11983382638289453
jav,tuk,0.66,23,31,0.0114681380504165,1152,9243,0.124634858812074,1.0,0.7125,0.7097,0.0,,0.2612,0.7408,3.01,0.3776,0.11107484928200417
jav,tur,0.67,9,45,0.027696635291572,10000,9243,1.0818998160770312,1.0,0.6687,0.5712,0.4327,0.4831,0.3353,0.7061,3.016,0.0,0.10519087410430195
jav,ukr,0.66,23,31,0.0014064697609001,10000,9243,1.0818998160770312,1.0,0.6747,0.5671,0.3824,0.4456,0.3583,0.817,3.092,0.3498,0.0950852424296591
jav,uig,0.66,23,31,0.0015146597425078,1167,9243,0.1262577085361895,1.0,0.7134,0.6527,0.0,,0.2277,,3.047,0.3776,0.10372342695545234
