task_lang,transfer_lang,accuracy,f1_score,transfer_language,genetic,geographic,syntactic,phonological,inventory,featural,hyper_genetic,scriptural,islands
obom1235,stan1293,0.2792792792792792,0.2087635861220766,eng,1.0,0.6,0.78,1.0,0.5983,0.9,3.0836556,0.1864,0.21184223511817424
west2615,stan1293,0.1621621621621621,0.0986095030158677,eng,1.0,0.4,0.8,0.5687,0.5983,0.9,3.2509122,0.1864,0.21750280712724002
tawa1275,stan1293,0.1891891891891892,0.1452040275569687,eng,1.0,0.7,0.68,0.5687,0.5983,0.8,3.089005,0.1864,0.20360376158104132
zoog1238,stan1293,0.1801801801801801,0.0894663894663894,eng,1.0,0.4,0.73,1.0,0.6008,0.7,3.0968745,0.1864,0.184035019746279
thai1262,stan1293,0.2342342342342342,0.1871992973649634,eng,0.9687,1.0,0.86,0.5687,0.5983,0.9,,0.1864,0.25279715559364746
yane1238,stan1293,0.2072072072072072,0.1605659522030889,eng,1.0,0.5,0.57,0.4121,0.5985,0.7,3.181746,0.1864,0.22995615916043977
gizr1240,stan1293,0.1958762886597938,0.1179470125263274,eng,1.0,0.7,0.9,0.5687,0.5983,0.9,3.1207778,0.1864,0.20113094888577543
toll1241,stan1293,0.2342342342342342,0.1655886655886655,eng,1.0,0.4,0.86,0.5207,0.5141,0.6,3.1139112,0.1864,0.20561301221848416
krio1252,stan1293,0.2702702702702703,0.2170594557691331,eng,0.2047999948263168,0.7,0.79,0.5687,0.5983,0.9,2.884462,0.1864,0.33807130912844474
kand1303,stan1293,0.1666666666666666,0.0959595348524568,eng,1.0,0.7,0.57,0.5687,0.5983,0.6,3.2370872,0.1864,0.24906870872769182
kutu1263,stan1293,0.2162162162162162,0.114760528553632,eng,1.0,0.4,0.57,0.5687,0.5983,0.6,3.2662036,0.1864,0.24906870872769182
kama1370,stan1293,0.1441441441441441,0.0798930798930799,eng,1.0,0.7,0.9,0.5687,0.5983,0.9,3.1977499,0.1864,0.23841543893274442
buga1250,stan1293,0.1743119266055046,0.098676971642346,eng,1.0,0.7,0.57,1.0,0.5983,1.0,3.2495306,0.1864,0.22736489557558492
quio1240,stan1293,0.1531531531531531,0.074343250813839,eng,1.0,0.4,0.68,0.5096,0.5552,0.6,3.1469157,0.1864,0.18537744188963945
anga1292,stan1293,0.209090909090909,0.1528389546571364,eng,1.0,0.7,0.9,0.5687,0.5983,0.9,3.1420743,0.1864,0.2511566995246757
kani1286,stan1293,0.2363636363636363,0.192763790121084,eng,1.0,0.7,0.57,0.5687,0.5983,0.6,3.2211761,0.1864,0.22786555007464515
keny1279,stan1293,0.1801801801801801,0.1120852534681224,eng,1.0,0.3,0.73,0.5687,0.5403,0.6,3.113833,0.1864,0.19291381734760205
mari1428,stan1293,0.2792792792792792,0.237540911698215,eng,1.0,0.7,0.9,0.5687,0.5983,0.9,3.146005,0.1864,0.205521507462869
indo1316,stan1293,0.5495495495495496,0.5370613323774915,eng,1.0,0.6,0.52,0.2736,0.4546,0.5,3.1451862,0.4161,0.17036841383195145
chac1251,stan1293,0.1981981981981982,0.1418188017901073,eng,1.0,0.5,0.82,0.5687,0.619,0.7,3.1766963,0.1864,0.22756523964705366
haru1245,stan1293,0.1818181818181818,0.1141131961259079,eng,1.0,0.7,0.82,1.0,0.5983,0.9,3.0649679,0.1864,0.24078083351791923
cacu1241,stan1293,0.2,0.1673821211514058,eng,1.0,0.4,0.92,0.5779,0.5293,0.6,3.0791643,0.1864,0.21976936867654517
tosk1239,stan1293,0.3243243243243243,0.2821364172715524,eng,0.8766999840736389,0.1,0.55,0.2736,0.4838,0.5,2.9991648,,0.1604249987645665
mats1244,stan1293,0.2,0.1517022441160372,eng,1.0,0.5,0.84,0.5687,0.5821,0.7,3.2214644,0.1864,0.23842039356170797
ogea1238,stan1293,0.2342342342342342,0.1922137345379813,eng,1.0,0.7,0.9,0.5687,0.5983,0.9,3.2252343,0.1864,0.2511566995246757
zigu1244,stan1293,0.1981981981981982,0.1240641898418095,eng,1.0,0.4,0.57,0.5687,0.5983,0.6,3.2114244,0.1864,0.23565848483760155
enga1252,stan1293,0.2342342342342342,0.176698567395572,eng,1.0,0.7,0.91,0.8632,0.5983,0.9,2.9928195,0.1864,0.21177277532597216
rinc1236,stan1293,0.2522522522522522,0.1501733962013211,eng,1.0,0.4,0.95,0.5687,0.5983,1.0,3.1266484,0.1864,0.25149062333559125
icel1247,stan1293,0.3063063063063063,0.2749060345161864,eng,0.7322999835014343,0.1,0.47,0.5687,0.4694,0.5,3.060736,0.0,0.14114342720517026
hiri1237,stan1293,0.2342342342342342,0.1695467376139645,eng,1.0,0.7,0.57,0.5687,0.5983,0.6,,0.1864,0.24906870872769182
want1252,stan1293,0.2702702702702703,0.1846820261142511,eng,1.0,0.7,0.57,0.5879,0.5754,0.7,3.1184776,0.1864,0.21519617207992026
siyi1240,stan1293,0.3243243243243243,0.2609777826092144,eng,1.0,0.4,0.7,0.5687,0.5983,0.8,3.2339377,0.1864,0.21552690816620024
guam1248,stan1293,0.1711711711711711,0.1154090168174675,eng,1.0,0.4,0.57,0.471,0.5625,0.7,3.1308908,0.1864,0.22257186009342822
seco1241,stan1293,0.2072072072072072,0.1101906661888813,eng,1.0,0.5,0.76,0.5687,0.5463,0.6,3.1500428,0.1864,0.21709366222118365
tepe1280,stan1293,0.2342342342342342,0.1461212216232296,eng,1.0,0.4,0.9,1.0,0.5983,0.9,3.1779916,0.1864,0.2528292455002171
bura1267,stan1293,0.1531531531531531,0.0713702137926118,eng,1.0,0.7,0.81,0.529,0.5962,0.7,3.059115,0.1864,0.22444763215462804
arif1239,stan1293,0.2702702702702703,0.262160301223008,eng,1.0,0.7,0.9,0.5687,0.5983,0.9,3.1751437,0.1864,0.2511566995246757
amel1241,stan1293,0.205607476635514,0.142536564760547,eng,1.0,0.7,0.7,0.4054,0.5694,0.6,3.117015,0.1864,0.19503981656956393
guhu1244,stan1293,0.1826923076923076,0.1097409092692111,eng,1.0,0.7,0.75,0.5687,0.5983,0.8,3.1285076,0.1864,0.21893922572401625
meng1267,stan1293,0.2072072072072072,0.1379883862642483,eng,1.0,0.7,0.79,0.5687,0.5983,0.9,3.1493642,0.1864,0.20168782497047644
bamb1270,stan1293,0.1981981981981982,0.1462894494268151,eng,1.0,0.6,0.57,0.5687,0.5983,0.6,3.057859,0.1864,0.2121281364484131
takw1238,stan1293,0.2162162162162162,0.1394283472325495,eng,1.0,0.4,0.57,0.5687,0.5983,0.6,3.258688,0.1864,0.24906870872769182
abau1245,stan1293,0.2342342342342342,0.2011792999170278,eng,1.0,0.7,0.86,0.5687,0.6077,0.7,3.1076825,0.1864,0.22977884001919036
atat1238,stan1293,0.2342342342342342,0.2080637199827604,eng,1.0,0.4,0.8,1.0,0.5983,0.9,3.2401295,0.1864,0.24873781166315645
kapi1249,stan1293,0.2792792792792792,0.2570913875356967,eng,1.0,0.7,0.83,0.5687,0.5983,0.9,3.2492635,0.1864,0.20520091009167696
auuu1241,stan1293,0.1531531531531531,0.1075604171579403,eng,1.0,0.7,0.62,0.5687,0.5928,0.6,3.241986,0.1864,0.20585430443453334
baki1244,stan1293,0.1261261261261261,0.0722279939147409,eng,1.0,0.8,0.57,0.5687,0.5983,0.6,3.251787,0.1864,0.181011787388763
wikm1247,stan1293,0.3119266055045872,0.2699749791492911,eng,1.0,0.7,0.79,0.529,0.5664,0.6,3.2555819,0.1864,0.21260563257577114
kouy1238,stan1293,0.1531531531531531,0.095262459748441,eng,1.0,0.3,0.57,0.5687,0.5983,0.6,3.1947532,0.1864,0.24906870872769182
iama1237,stan1293,0.2149532710280373,0.1600877265634576,eng,1.0,0.7,0.9,0.5687,0.5983,0.9,3.1267192,0.1864,0.2361733589531877
yele1255,stan1293,0.1296296296296296,0.1017195767195767,eng,0.9687,0.7,0.89,0.6373,0.5983,0.9,3.0319836,0.1864,0.24682910753500098
mapo1242,stan1293,0.2522522522522522,0.1888639122681675,eng,1.0,0.7,0.79,0.5687,0.5983,0.9,3.103932,0.1864,0.22361545539871897
