task_lang,transfer_lang,accuracy,Rank,Accuracy level,Overlap word-level,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,genetic,syntactic,featural,phonological,inventory,geographic,morphological
pcm,dan,0.0807,49,12,0.0915966386554621,5512,948,5.814345991561181,0.2897915761056075,0.0925206033276318,4.546209655774099,0.7592,0.4704,0.486,,,0.2,
pcm,ind,0.187,30,31,0.1092436974789916,5593,948,5.899789029535865,0.2927781145801758,0.0925206033276318,4.684904224426879,1.0,0.6683,0.4836,0.2677,0.3578,0.4132,
pcm,ukr,0.0133,58,3,0.0100840336134453,5873,948,6.195147679324895,0.4399821508255243,0.0925206033276318,14.103814484514292,0.9139,0.525,0.4371,0.2163,0.3753,0.1863,
pcm,fas,0.1473,34,27,0.0042016806722689,5997,948,6.325949367088608,0.15688157524207,0.0925206033276318,0.4839140985616458,0.9273,0.5808,0.5062,0.4601,0.4445,0.2239,
pcm,heb,0.118,41,20,0.0025210084033613,6216,948,6.556962025316456,0.4067013046511386,0.0925206033276318,11.531401597513856,1.0,0.5593,0.5547,0.5319,0.5486,0.1595,
pcm,eus,0.228,21,40,0.0235294117647058,8993,948,9.486286919831224,0.3519527880166261,0.0925206033276318,7.8626834872387805,0.9654,0.5646,0.5509,0.4788,0.535,0.152,
pcm,lav,0.0582,52,9,0.026890756302521,7703,948,8.125527426160337,0.37546297265061,0.0925206033276318,9.35231356770415,0.8886,0.5162,0.4968,0.3333,,0.2177,
pcm,slv,0.1988,25,36,0.0512605042016806,8000,948,8.438818565400844,0.3676498731122853,0.0925206033276318,8.842940008793772,0.9139,0.5182,0.4643,0.3125,0.4151,0.1679,
pcm,hrv,0.1898,29,32,0.0764705882352941,8889,948,9.376582278481012,0.2981575694863614,0.0925206033276318,4.939983104424799,0.9273,0.5606,0.5004,0.3743,0.4627,0.1657,
pcm,ron,0.2003,24,37,0.0840336134453781,9524,948,10.046413502109704,0.2570438554726763,0.0925206033276318,3.1621149904700023,0.932,0.5778,0.4187,0.3613,0.3349,0.1797,
pcm,slk,0.1584,31,30,0.0369747899159663,10604,948,11.18565400843882,0.4130087201061381,0.0925206033276318,11.999052403471328,0.9139,,,,,0.1808,
pcm,bul,0.0175,57,4,0.0033613445378151,11138,948,11.748945147679326,0.2891950325041875,0.0925206033276318,4.518755928482911,0.9214,0.5489,0.5064,0.3498,0.5132,0.1703,
pcm,por,0.2667,12,49,0.1092436974789916,12078,948,12.740506329113924,0.1985895453616555,0.0925206033276318,1.3143152948543155,0.942,0.4498,0.3819,0.0,0.3356,0.1487,
pcm,nld,0.106,42,19,0.1260504201680672,13583,948,14.32805907172996,0.2163749886307094,0.0925206033276318,1.7920324276771111,0.7366,0.4994,0.4429,0.2804,0.4183,0.1875,
pcm,eng,0.5337,1,60,0.6848739495798319,16622,948,17.533755274261605,0.1746279711803919,0.0925206033276318,0.7875667050215235,0.2804,0.5052,0.4774,0.3277,0.4752,0.1925,
pcm,ita,0.0684,51,10,0.1109243697478991,14167,948,14.94409282700422,0.2090539911907565,0.0925206033276318,1.5864406616712512,0.9359,0.4767,0.3946,0.2163,0.3108,0.153,
pcm,cat,0.2631,14,47,0.0932773109243697,16678,948,17.59282700421941,0.1431069684669108,0.0925206033276318,0.2989441345184318,0.9392,0.4765,0.398,0.2677,0.3295,0.1447,
pcm,hin,0.0338,55,6,0.0008403361344537,16647,948,17.560126582278482,0.072831563624156,0.0925206033276318,0.04528685453781,0.9273,0.586,0.5241,0.3548,0.4991,0.2973,
pcm,pol,0.1294,37,24,0.0361344537815126,17246,948,18.19198312236287,0.4049278834815912,0.0925206033276318,11.401588941281997,0.9139,0.5632,0.4866,0.195,0.4599,0.1935,
