task_lang,transfer_lang,accuracy,Rank,Accuracy level,Word overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,genetic,syntactic,featural,phonological,inventory,geographic,morphological,hyper_genetic,scriptural,islands
rus,hrv,65.32,3,27,0.156491575,7832,6491,1.2065937451856417,0.216688845,0.247722217,0.0156937965623282,0.625,0.4657,0.4457,0.0,0.4214,0.1612,0.4774,3.031,0.3498,0.05406150664650888
rus,ara,36.46,26,4,0.101398631,6984,6491,1.0759513172084425,0.1033986809999999,0.247722217,0.3394254522639913,1.0,0.6095,0.5822,,,0.1491,0.5352,3.168,0.6591,0.0853277769267331
rus,lav,54.69,14,16,0.1168509059999999,6475,6491,0.997535048528732,0.268650981,0.247722217,0.0071376828233272,0.5,0.4803,0.4403,0.2048,,0.1216,0.4083,2.81,0.3498,0.06396192600315154
rus,heb,39.76,24,6,0.137630083,5725,6491,0.8819904483130488,0.117344567,0.247722217,0.2769978393220895,1.0,0.4556,0.5262,0.5342,0.6156,0.1569,0.5588,3.166,0.6421,0.08430287900673716
rus,ukr,69.6,1,29,0.1851375189999999,5090,6491,0.7841626867971037,0.31926283,0.247722217,0.0834017950517722,0.3333,0.3818,0.3871,0.2301,0.385,0.1354,0.4213,2.717,0.0,0.05154720900195253
rus,ind,48.09,23,7,0.123422172,5036,6491,0.7758434755815745,0.197096308,0.247722217,0.0417653141205777,1.0,0.566,0.57,0.3333,0.503,0.2915,0.7837,3.193,0.4788,0.10263611586180099
rus,dan,52.3,19,11,0.098603073,4947,6491,0.7621321830226467,0.203165045,0.247722217,0.032352311941798,0.8571,0.5442,0.5569,,,0.1584,0.5703,3.053,0.3918,0.08006201117433887
rus,swe,51.71,21,9,0.06427226,4807,6491,0.7405638576490525,0.193727962,0.247722217,0.0475078296271544,0.8571,0.5354,0.5534,0.3125,0.578,0.1338,0.5739,3.08,0.3918,0.10436150187028281
rus,zho,34.69,27,3,0.1062482419999999,4497,6491,0.6928054228932368,0.178585916,0.247722217,0.0778901182826674,1.0,0.5787,0.6315,0.4949,0.6065,0.1449,0.8043,3.041,0.5641,0.13363989309876145
nor,ces,61.16,16,14,0.178684302,114304,3450,33.13159420289855,0.091965586,0.206890882,0.3085663475402295,0.8571,0.4841,0.5588,0.4078,0.6169,0.0483,,3.094,0.1864,0.10794226633533388
