,Target lang,Transfer lang,Accuracy,Rank,Accuracy level,Word overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHICAL,Unnamed: 18,GEOGRAPHIC
101,spa,eng,66.83,5,25,0.170682638,14545,2147,6.774569166278528,0.0961556319999999,0.1929523189999999,0.251663934146114,0.9386,0.5005,0.5604,0.4697,0.5192,0.0698,0.1268,0.3756929241839698
102,spa,fin,35.25,27,3,0.139158426,13581,2147,6.3255705635770845,0.302519355,0.1929523189999999,0.3224480995143557,1.0,0.4663,0.5433,0.5541,0.5272,0.1597,0.5168,0.4472607560731706
103,spa,bul,63.79,11,19,0.12479688,10022,2147,4.667908709827667,0.201446082,0.1929523189999999,0.0019377612749689,0.9248,0.2233,0.2524,0.571,0.5575,0.1089,0.3049,0.47205297231752436
104,spa,slv,60.46,15,15,0.143940449,9290,2147,4.326967862133209,0.237767323,0.1929523189999999,0.0539444629786315,0.9176,0.5384,0.6057,0.7993,0.4792,0.0717,0.127,0.4312269865014532
105,spa,slk,54.7,20,10,0.123404058,9543,2147,4.444806707033069,0.261917468,0.1929523189999999,0.1277495422524947,0.9176,0.4606,0.58,1.3012,1.2476,0.0904,0.1483,0.44317992334309947
106,spa,ron,65.47,6,24,0.294767631,8795,2147,4.096413600372613,0.167303215,0.1929523189999999,0.0176703190873504,0.5804,0.2675,0.2742,0.6496,0.48,0.1069,0.1304,0.4660988820243263
107,spa,hrv,60.74,14,16,0.170233839,7832,2147,3.647880763856544,0.216688845,0.1929523189999999,0.0151333232819818,0.9304,0.4341,0.3957,0.7993,0.4045,0.0776,0.4806,0.43045770307300696
108,spa,ara,46.23,22,8,0.0701672929999999,6984,2147,3.2529110386585933,0.1033986809999999,0.1929523189999999,0.2154102979133033,1.0,0.4948,0.7113,1.3012,1.2476,1.0,0.1295,0.5609791973922147
109,spa,lav,52.97,21,9,0.135769225,6475,2147,3.015836050302748,0.268650981,0.1929523189999999,0.1539133891909916,0.8934,0.4979,0.6994,0.5541,1.2476,0.129,0.5212,0.4514841814698576
110,spa,heb,56.16,19,11,0.121113639,5725,2147,2.6665114112715416,0.117344567,0.1929523189999999,0.1535439278593294,1.0,0.4357,0.5415,0.8362,0.5978,0.1696,0.3292,0.5069315496346435
111,spa,ukr,61.35,12,18,0.11170435,5090,2147,2.370749883558453,0.31926283,0.1929523189999999,0.4285277782267523,0.9176,0.4858,0.5552,0.7634,0.4933,0.1095,0.3312,0.480273414224561
112,spa,ind,56.53,18,12,0.138384636,5036,2147,2.3455985095482066,0.197096308,0.1929523189999999,0.0004612508535431,1.0,0.3516,0.4017,0.5303,0.4335,0.6143,0.5122,0.7892122520585441
113,spa,dan,64.12,9,21,0.161505486,4947,2147,2.304145319049837,0.203165045,0.1929523189999999,0.0028014530954082,0.9248,0.5374,0.7235,1.3012,1.2476,0.089,0.0978,0.4169925727719821
114,spa,swe,60.41,16,14,0.116176857,4807,2147,2.2389380530973453,0.193727962,0.1929523189999999,1.6159344876055972e-05,0.9248,0.5227,0.5818,0.8089,0.5862,0.1252,0.3946,0.4319467976088062
115,spa,zho,35.92,26,4,0.1058699719999999,4497,2147,2.094550535631113,0.178585916,0.1929523189999999,0.0055436535949045,1.0,0.5249,0.5529,0.5464,0.5599,1.0,0.4762,0.6819200463568201
116,kor,ces,14.61,16,14,0.125440152,114304,3276,34.89133089133089,0.091965586,0.465899158,0.6441767784799476,1.0,0.354,0.4059,0.7252,0.5809,0.4141,0.4388,0.40644533554341544
117,kor,rus,15.6,9,21,0.117398796,55398,3276,16.91025641025641,0.123916395,0.465899158,0.5387962724482416,1.0,0.2727,0.3576,0.4935,0.6071,0.2272,0.4218,0.21596976426670275
118,kor,nor,15.32,11,19,0.117373823,34170,3276,10.43040293040293,0.106159434,0.465899158,0.5962013335595927,1.0,0.5406,0.5806,0.4544,0.4735,0.3892,0.4796,0.384132729194378
119,kor,spa,12.19,24,6,0.124441226,31546,3276,9.629426129426127,0.0791871859999999,0.465899158,0.6889558364492705,1.0,0.5424,0.591,0.5959,0.5146,0.4956,0.3925,0.6442163826929858
120,kor,est,16.17,7,23,0.1167744669999999,23460,3276,7.1611721611721615,0.221928097,0.465899158,0.2742159918986014,0.9896,0.4262,0.6149,1.1892,1.2579,0.3622,0.4041,0.34837762396035327
121,kor,pol,14.86,15,15,0.103438803,22646,3276,6.912698412698413,0.223329008,0.465899158,0.2710758713127536,1.0,0.3327,0.3773,0.4544,0.5287,0.3976,0.2833,0.3836773159720756
122,kor,nld,14.58,17,13,0.11924681,19452,3276,5.937728937728938,0.133302703,0.465899158,0.509625770154501,1.0,0.3766,0.4033,0.6326,0.4875,0.4315,0.3405,0.4241516109037895
123,kor,por,13.76,21,9,0.123916789,19763,3276,6.032661782661783,0.095460698,0.465899158,0.6321909711218328,1.0,0.3269,0.3875,0.6572,0.4892,0.4962,0.4298,0.8059078362115903
124,kor,lat,13.92,20,10,0.000249732,17140,3276,5.231990231990232,0.158874645,0.465899158,0.434272422356117,1.0,0.4144,0.4633,0.6529,0.8105,0.4515,0.1005,0.44763579667962244
125,kor,fra,12.06,26,4,0.121019904,16032,3276,4.893772893772894,0.118520741,0.465899158,0.5559321781923584,1.0,0.3662,0.3843,0.4336,0.4558,0.4552,0.3889,0.48133897955177807
126,kor,deu,17.39,3,27,0.120870065,14613,3276,4.460622710622711,0.187631727,0.465899158,0.3567310449798401,1.0,0.5053,0.56,0.4544,0.4944,0.4258,0.4456,0.4110891087031543
127,kor,hin,22.94,1,29,0.062133207,14963,3276,4.567460317460317,0.060393443,0.465899158,0.7575479155122635,1.0,0.2787,0.3481,0.4909,0.5333,0.2488,0.4531,0.2434049036114721
128,kor,cat,12.69,23,7,0.1216442319999999,14832,3276,4.527472527472527,0.074013319,0.465899158,0.7075144098004392,1.0,0.3875,0.4061,0.4326,0.4893,0.4773,0.441,0.4988910290284786
129,kor,ita,12.19,24,6,0.119596434,13685,3276,4.177350427350428,0.102554534,0.465899158,0.6082100981557959,1.0,0.3367,0.3997,0.691,0.5486,0.4465,0.4628,0.4452692565339277
