Target lang,Transfer lang,Accuracy,Rank,Accuracy level,Word overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHICAL,Unnamed: 18,GEOGRAPHIC
nor,bul,63.95,9,21,0.1131368859999999,10022,3450,2.904927536231884,0.201446082,0.206890882,0.0006925978856075,0.8831,0.4609,0.4973,0.4208,0.5964,0.1054,0.295,0.0863
nor,slv,61.87,15,15,0.137452274,9290,3450,2.692753623188406,0.237767323,0.206890882,0.0222726436325631,0.8718,0.4817,0.5132,0.4208,0.5251,0.078,0.4025,0.0641
nor,slk,58.74,19,11,0.1225086319999999,9543,3450,2.766086956521739,0.261917468,0.206890882,0.0707395732523525,0.8718,0.7508,0.7078,0.5426,0.5972,0.0696,0.3598,0.0573
nor,ron,63.33,11,19,0.13332359,8795,3450,2.5492753623188404,0.167303215,0.206890882,0.0366131516784058,0.8989,0.3811,0.4766,0.4878,0.5961,0.0888,0.399,0.0729
nor,hrv,62.98,13,17,0.157657246,7832,3450,2.270144927536232,0.216688845,0.206890882,0.0022427914307449,0.8919,0.492,0.5234,0.47,0.5577,0.0853,0.0683,0.0701
nor,ara,37.32,27,3,0.084491861,6984,3450,2.0243478260869567,0.1033986809999999,0.206890882,0.2502260639420608,1.0,0.5728,0.5942,0.5049,0.6012,1.0,0.3998,0.1751
nor,lav,59.73,18,12,0.119457791,6475,3450,1.8768115942028984,0.268650981,0.206890882,0.0891113996068163,0.8337,0.4925,0.5274,0.3695,0.5722,0.0451,0.2494,0.0373
nor,heb,39.59,26,4,0.109958165,5725,3450,1.6594202898550725,0.117344567,0.206890882,0.187332330039128,1.0,0.4355,0.5216,0.4576,0.5833,0.1853,0.3032,0.1494
nor,ukr,64.3,8,22,0.117758819,5090,3450,1.4753623188405798,0.31926283,0.206890882,0.2950075405895644,0.8718,0.4372,0.5223,0.4576,0.6226,0.0803,0.2833,0.066
nor,ind,52.98,22,8,0.127477667,5036,3450,1.4597101449275365,0.197096308,0.206890882,0.0022412401887895,1.0,0.5328,0.547,0.4878,0.5251,0.5622,0.1639,0.3987
