,Target lang,Transfer lang,Accuracy,Rank,Accuracy level,Entity overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
98,jav,tur,0.67,9,45,0.027696635291572,10000,9243,1.0818998160770312,1.0,0.5277,0.5343,0.551,0.46,0.4788023124443869
99,jav,ukr,0.66,23,31,0.0014064697609001,10000,9243,1.0818998160770312,1.0,0.5286,0.5229,0.4161,0.4225,0.4917606187556124
100,jav,uig,0.66,23,31,0.0015146597425078,1167,9243,0.1262577085361895,1.0,0.3807,0.6053,1.1219,1.3243,0.2294618623039764
101,jav,uzb,0.67,9,45,0.0128746078113166,10000,9243,1.0818998160770312,1.0,0.4226,0.4451,0.4992,0.5229,0.36231135991385194
102,jav,vie,0.66,23,31,0.0216379963215406,10000,9243,1.0818998160770312,1.0,0.4696,0.4892,0.656,0.4751,0.13456224722159174
103,jav,xho,0.63,51,3,0.0036784593746619,218,9243,0.0235854159904792,1.0,0.3974,0.4388,0.418,0.4235,0.5051966922058836
104,jav,yor,0.66,23,31,0.0795196364816618,7227,9243,0.7818889970788705,1.0,0.4259,0.4416,0.586,0.4242,0.6080733797945441
105,jav,zul,0.65,38,16,0.0089797684734393,462,9243,0.0499837715027588,1.0,0.4061,0.4326,0.5931,0.4785,0.504917754516477
106,lao,amh,0.05,12,42,0.0,2028,521,3.892514395393474,1.0,0.4027,0.4412,0.8241,0.4189,0.3570874438467345
107,lao,ara,0.05,12,42,0.0,10000,521,19.19385796545105,1.0,0.4223,0.6317,0.8723,1.268,0.3118902266226785
108,lao,aze,0.04,32,22,0.0057581573896353,10000,521,19.19385796545105,1.0,0.4667,0.4839,0.2801,0.541,0.29533154801926065
109,lao,ben,0.07,2,52,0.0,10000,521,19.19385796545105,1.0,0.3747,0.408,0.6018,0.4955,0.11420101626529774
110,lao,cat,0.04,32,22,0.0019193857965451,10000,521,19.19385796545105,1.0,0.4484,0.4806,0.5619,0.3998,0.5019154865324179
111,lao,ceb,0.06,5,49,0.0057581573896353,10000,521,19.19385796545105,1.0,0.3409,0.3287,0.0,0.3749,0.126747745947872
112,lao,ckb,0.05,12,42,0.0,6279,521,12.051823416506718,1.0,0.4416,0.6076,0.8723,1.268,0.29420743299087176
113,lao,deu,0.05,12,42,0.0,10000,521,19.19385796545105,1.0,0.3891,0.4181,0.6561,0.4724,0.4227962874072218
114,lao,fas,0.04,32,22,0.0,10000,521,19.19385796545105,1.0,0.4584,0.4894,0.6561,0.4703,0.2613215110948242
115,lao,fra,0.03,47,7,0.0,10000,521,19.19385796545105,1.0,0.4687,0.5034,0.6755,0.472,0.46460471533848663
116,lao,hau,0.05,12,42,0.0095969289827255,1071,521,2.055662188099808,1.0,0.381,0.4281,0.7584,0.5038,0.510662621261492
117,lao,hin,0.07,2,52,0.0,10000,521,19.19385796545105,1.0,0.4526,0.4917,0.6755,0.5165,0.14515455260720303
118,lao,hun,0.05,12,42,0.0,10000,521,19.19385796545105,1.0,0.4612,0.4919,0.6326,0.4646,0.3965884653219379
119,lao,ilo,0.05,12,42,0.0019193857965451,3549,521,6.811900191938579,1.0,0.3307,0.3224,0.0,0.3325,0.11921991299593492
120,lao,ind,0.06,5,49,0.0,10000,521,19.19385796545105,1.0,0.2635,0.2949,0.6449,0.375,0.15563182084366187
121,lao,ita,0.06,5,49,0.0,10000,521,19.19385796545105,1.0,0.4387,0.4617,0.1973,0.4142,0.43226560529907054
122,lao,jav,0.04,32,22,0.0076775431861804,9243,521,17.74088291746641,1.0,0.338,0.3331,0.357,0.3994,0.15611271274352542
123,lao,kaz,0.03,47,7,0.0,10000,521,19.19385796545105,1.0,0.441,0.6001,0.7898,1.268,0.22571132823354215
124,lao,kin,0.03,47,7,0.0038387715930902,864,521,1.6583493282149713,1.0,0.4187,0.4228,0.3352,0.4494,0.42837378268436616
125,lao,kir,0.04,32,22,0.0019193857965451,10000,521,19.19385796545105,1.0,0.4246,0.449,0.6287,0.5741,0.1982995989188729
126,lao,kur,0.05,12,42,0.0115163147792706,4006,521,7.689059500959693,1.0,0.3776,0.4145,0.6018,0.5398,0.33415187411813446
127,lao,mar,0.06,5,49,0.0,10000,521,19.19385796545105,1.0,0.4382,0.4543,0.14,0.4723,0.1457889802510804
128,lao,mlt,0.04,32,22,0.0038387715930902,1390,521,2.6679462571976966,1.0,0.4813,0.4873,0.2801,0.4327,0.4220858839725208
129,lao,mya,0.03,47,7,0.0057581573896353,3282,521,6.299424184261037,1.0,0.4649,0.4935,0.73,0.419,0.06124311574380049
130,lao,msa,0.06,5,49,0.0,10000,521,19.19385796545105,1.0,0.4366,0.4416,0.1973,0.4237,0.11928731090471498
131,lao,nld,0.04,32,22,0.0038387715930902,10000,521,19.19385796545105,1.0,0.4524,0.4697,0.2301,0.4471,0.44208250121658016
132,lao,nya,0.05,12,42,0.0115163147792706,237,521,0.45489443378119,1.0,0.3928,0.5857,0.8723,1.268,0.4388255700837475
133,lao,orm,0.04,32,22,0.0019193857965451,265,521,0.508637236084453,1.0,0.3885,0.4166,0.7584,0.4042,0.3616181729040007
134,lao,pan,0.05,12,42,0.0019193857965451,7902,521,15.166986564299425,1.0,0.4454,0.4724,0.1368,0.4923,0.1317389320123685
135,lao,pol,0.04,32,22,0.0,10000,521,19.19385796545105,1.0,0.4649,0.5134,0.5337,0.4627,0.39172238799477566
136,lao,por,0.05,12,42,0.0019193857965451,10000,521,19.19385796545105,1.0,0.4392,0.4636,0.1368,0.4248,0.8135993586271221
137,lao,ron,0.04,32,22,0.0019193857965451,10000,521,19.19385796545105,1.0,0.3438,0.3782,0.4882,0.4494,0.37916241757306696
138,lao,rus,0.03,47,7,0.0,10000,521,19.19385796545105,1.0,0.4481,0.5072,0.6482,0.5209,0.2662402767124249
139,lao,sna,0.05,12,42,0.0134357005758157,592,521,1.1362763915547025,1.0,0.4142,0.4517,0.2721,0.4849,0.4649062109178926
140,lao,som,0.05,12,42,0.0115163147792706,1246,521,2.3915547024952017,1.0,0.3879,0.4277,0.7024,0.5295,0.34494078130456113
141,lao,spa,0.04,32,22,0.0,10000,521,19.19385796545105,1.0,0.4105,0.4407,0.8043,0.5078,0.7291395215859746
142,lao,swa,0.04,32,22,0.0057581573896353,10000,521,19.19385796545105,1.0,0.4232,0.4703,0.6733,0.4466,0.4063952206448925
143,lao,swe,0.06,5,49,0.0,10000,521,19.19385796545105,1.0,0.4593,0.4786,0.2388,0.4909,0.39444788419897214
144,lao,tam,0.05,12,42,0.0,10000,521,19.19385796545105,1.0,0.4344,0.4501,0.1906,0.4849,0.14398040993027061
