Target lang,Transfer lang,Accuracy,Rank,Accuracy level,Entity overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
jav,tel,0.68,4,50,0.00010818998160770312,5991,9243,0.6481661798117494,1.0,0.8718,0.5165,0.4196,0.4304,0.2001
jav,tgk,0.66,23,31,0.0006491398896462187,10000,9243,1.0818998160770312,1.0,0.8684,0.9629,0.7223,0.611,0.3071
jav,tgl,0.67,9,45,0.04392513253272747,10000,9243,1.0818998160770312,0.625,0.9034,0.6124,0.5,0.4611,0.1009
jav,tha,0.64,45,9,0.00021637996321540625,10000,9243,1.0818998160770312,1.0,0.7323,0.5465,0.529,0.4335,0.0994
jav,tir,0.64,45,9,0.0,81,9243,0.008763388510223956,1.0,0.8718,0.6259,0.7223,0.5235,0.4043
jav,tuk,0.66,23,31,0.011468138050416531,1152,9243,0.124634858812074,1.0,0.8337,0.9551,1.0,0.611,0.3376
jav,tur,0.67,9,45,0.027696635291572003,10000,9243,1.0818998160770312,1.0,0.7729,0.5951,0.5,0.4831,0.4511
jav,ukr,0.66,23,31,0.0014064697609001409,10000,9243,1.0818998160770312,1.0,0.7984,0.6118,0.7223,0.4456,0.4894
jav,uig,0.66,23,31,0.0015146597425078439,1167,9243,0.12625770853618956,1.0,0.8749,0.9670000000000001,1.0,0.611,0.2903
jav,uzb,0.67,9,45,0.012874607811316672,10000,9243,1.0818998160770312,1.0,0.855,0.6905,0.7223,0.611,1.0
jav,vie,0.66,23,31,0.021637996321540624,10000,9243,1.0818998160770312,1.0,0.711,0.5749,0.5533,0.5072,0.1077
jav,xho,0.63,51,3,0.0036784593746619055,218,9243,0.02358541599047928,1.0,0.7308,0.5488,0.7223,0.4456,0.4641
jav,yor,0.66,23,31,0.0795196364816618,7227,9243,0.7818889970788705,1.0,0.7671,0.5636,0.5,0.4477,0.5953
jav,zul,0.65,38,16,0.00897976847343936,462,9243,0.04998377150275885,1.0,0.8073,0.6278,0.5741,0.5049,0.4461
lao,amh,0.05,12,42,0.0,2028,521,3.892514395393473,1.0,0.7573,0.6233,0.5687,0.445,0.3502
lao,ben,0.07,2,52,0.0,10000,521,19.19385796545105,1.0,0.7201,0.6185,0.6162,0.522,0.0878
lao,cat,0.04,32,22,0.001919385796545105,10000,521,19.19385796545105,1.0,0.5698,0.5198,0.6162,0.4237,0.4853
lao,ceb,0.06,5,49,0.005758157389635317,10000,521,19.19385796545105,1.0,0.7861,0.5433,0.0002,0.4008,0.1156
lao,ckb,0.05,12,42,0.0,6279,521,12.051823416506718,1.0,0.7788,0.8681,0.0002,0.6643,0.3084
lao,deu,0.05,12,42,0.0,10000,521,19.19385796545105,1.0,0.6562,0.5966,0.5456,0.4988,0.4409
lao,fra,0.03,47,7,0.0,10000,521,19.19385796545105,1.0,0.6859,0.6056,0.5456,0.4973,0.479
lao,hau,0.05,12,42,0.009596928982725529,1071,521,2.055662188099808,1.0,0.5625,0.5817,0.5456,0.5336,0.5132
lao,hin,0.07,2,52,0.0,10000,521,19.19385796545105,1.0,0.6813,0.6133,0.5922,0.5399,0.1514
lao,hun,0.05,12,42,0.0,10000,521,19.19385796545105,1.0,0.6557,0.5971,0.5922,0.4928,0.4161
lao,ilo,0.05,12,42,0.001919385796545105,3549,521,6.811900191938579,1.0,0.7083,0.4962,0.0002,0.3532,0.0877
lao,ind,0.06,5,49,0.0,10000,521,19.19385796545105,1.0,0.4611,0.48100000000000004,0.5687,0.3987,0.1331
lao,ita,0.06,5,49,0.0,10000,521,19.19385796545105,1.0,0.5155,0.4766,0.0002,0.441,0.4471
lao,jav,0.04,32,22,0.007677543186180422,9243,521,17.740882917466408,1.0,0.7567,0.5579,0.7223,0.4208,0.0987
lao,kaz,0.03,47,7,0.0,10000,521,19.19385796545105,1.0,0.7261,0.8553,0.879,0.6643,0.2337
lao,kin,0.03,47,7,0.003838771593090211,864,521,1.6583493282149713,1.0,0.7622,0.5807,0.0002,0.4772,0.4221
lao,kir,0.04,32,22,0.001919385796545105,10000,521,19.19385796545105,1.0,0.7696,0.6939,0.5456,0.6088,0.2048
lao,kur,0.05,12,42,0.011516314779270634,4006,521,7.689059500959692,1.0,0.6355,0.7877,0.0002,0.6643,0.3081
lao,mar,0.06,5,49,0.0,10000,521,19.19385796545105,1.0,0.7788,0.6068,0.0002,0.4997,0.1485
lao,mlt,0.04,32,22,0.003838771593090211,1390,521,2.6679462571976966,1.0,1.0,0.6233,0.0002,0.4617,0.4486
lao,mya,0.03,47,7,0.005758157389635317,3282,521,6.299424184261037,1.0,0.8124,0.6347,0.5228,0.4425,0.0617
lao,nld,0.04,32,22,0.003838771593090211,10000,521,19.19385796545105,1.0,0.6055,0.5224,0.0002,0.4711,0.4618
lao,nya,0.05,12,42,0.011516314779270634,237,521,0.4548944337811901,1.0,0.5888,0.763,0.0002,0.6643,0.4294
lao,pan,0.05,12,42,0.001919385796545105,7902,521,15.166986564299426,1.0,0.706,0.5918,0.0002,0.5167,0.1661
lao,pol,0.04,32,22,0.0,10000,521,19.19385796545105,1.0,0.4927,0.5295,0.6162,0.4918,0.4164
lao,por,0.05,12,42,0.001919385796545105,10000,521,19.19385796545105,1.0,0.5382,0.4856,0.0002,0.4493,0.514
lao,ron,0.04,32,22,0.001919385796545105,10000,521,19.19385796545105,1.0,0.5766,0.5496,0.6409999999999999,0.4772,0.3991
lao,rus,0.03,47,7,0.0,10000,521,19.19385796545105,1.0,0.6157,0.6162,0.6162,0.5567,0.252
lao,sna,0.05,12,42,0.01343570057581574,592,521,1.1362763915547025,1.0,0.6364,0.5565,0.0002,0.5124,0.4493
lao,som,0.05,12,42,0.011516314779270634,1246,521,2.3915547024952017,1.0,0.627,0.6118,0.5687,0.5582,0.3295
lao,spa,0.04,32,22,0.0,10000,521,19.19385796545105,1.0,0.6463,0.6239,0.5922,0.5421,0.5058
lao,swa,0.04,32,22,0.005758157389635317,10000,521,19.19385796545105,1.0,0.6779999999999999,0.6878,0.0002,0.6643,1.0
lao,swe,0.06,5,49,0.0,10000,521,19.19385796545105,1.0,0.6576,0.5713,0.0002,0.5184,0.4153
lao,tam,0.05,12,42,0.0,10000,521,19.19385796545105,1.0,0.8689,0.6517,0.0002,0.5124,0.1424
lao,tel,0.05,12,42,0.0,5991,521,11.499040307101724,1.0,0.8502,0.6576,0.6409999999999999,0.5309,0.1379
lao,tgk,0.05,12,42,0.0,10000,521,19.19385796545105,1.0,0.6108,0.7745,0.0002,0.6643,0.2157
lao,tgl,0.06,5,49,0.007677543186180422,10000,521,19.19385796545105,1.0,0.6454,0.5621,0.5922,0.4297,0.0928
lao,tha,0.28,1,53,0.0,10000,521,19.19385796545105,0.0909,0.449,0.4669,0.5687,0.3924,0.0234
lao,tir,0.02,53,1,0.001919385796545105,81,521,0.15547024952015354,1.0,0.8195,0.6175,0.0002,0.4997,0.3495
lao,tuk,0.05,12,42,0.001919385796545105,1152,521,2.2111324376199617,1.0,0.8054,0.8882,0.879,0.6643,0.2508
lao,tur,0.05,12,42,0.001919385796545105,10000,521,19.19385796545105,1.0,0.8106,0.6748,0.5922,0.5319,0.3659
lao,ukr,0.05,12,42,0.0,10000,521,19.19385796545105,1.0,0.5766,0.5172,0.0002,0.466,0.3978
lao,uig,0.04,32,22,0.0,1167,521,2.2399232245681384,1.0,0.8539,0.9179,0.7877,0.6643,0.1928
lao,uzb,0.03,47,7,0.0,10000,521,19.19385796545105,1.0,0.6779999999999999,0.6878,0.0002,0.6643,1.0
lao,vie,0.07,2,52,0.0,10000,521,19.19385796545105,1.0,0.4734,0.5113,0.5456,0.4574,0.0173
lao,xho,0.04,32,22,0.007677543186180422,218,521,0.4184261036468329,1.0,0.6825,0.4986,0.0002,0.3824,0.4842
lao,yor,0.05,12,42,0.011516314779270634,7227,521,13.871401151631478,1.0,0.4595,0.4766,0.5922,0.3914,0.5466
lao,zul,0.04,32,22,0.0,462,521,0.8867562380038387,1.0,0.6509,0.6001,0.5228,0.4837,0.4578
mar,amh,0.24,6,48,0.0005,2028,10000,0.2028,1.0,0.5935,0.5632,0.5687,0.466,0.20199999999999999
mar,ben,0.37,3,51,0.0002,10000,10000,1.0,0.625,0.4989,0.4685,0.6162,0.3908,0.0769
mar,cat,0.16,24,30,0.0,10000,10000,1.0,0.9091,0.7882,0.6109,0.6162,0.4488,0.3657
mar,ceb,0.09,44,10,0.0,10000,10000,1.0,1.0,0.9589,0.6644,0.0002,0.5195,0.2627
mar,ckb,0.21,14,40,0.0,6279,10000,0.6279,0.75,0.7837,0.8767,0.0002,0.6284,0.1807
mar,deu,0.22,10,44,0.0,10000,10000,1.0,0.8571,0.6392,0.6172,0.5456,0.5522,0.3316
mar,fra,0.11,39,15,0.0,10000,10000,1.0,0.9375,0.6931,0.6168,0.5456,0.5174,0.37
mar,hau,0.17,22,32,0.0,1071,10000,0.1071,1.0,0.799,0.6856,0.5456,0.5648,0.3652
mar,hin,0.56,1,53,0.054000000000000006,10000,10000,1.0,0.625,0.5316,0.4791,0.5922,0.39799999999999996,0.0393
mar,hun,0.21,14,40,0.0,10000,10000,1.0,1.0,0.6403,0.5892,0.5922,0.4901,0.3035
mar,ilo,0.15,27,27,0.0004,3549,10000,0.3549,1.0,0.8453,0.5998,0.0002,0.4571,0.2353
mar,ind,0.27,5,49,0.0,10000,10000,1.0,1.0,0.8105,0.649,0.5687,0.47,0.2293
mar,ita,0.23,8,46,0.0,10000,10000,1.0,0.9,0.7443,0.622,0.0002,0.5248,0.3279
mar,jav,0.21,14,40,0.0,9243,10000,0.9243,1.0,0.8831,0.5672,0.7223,0.409,0.2134
mar,kaz,0.11,39,15,0.0,10000,10000,1.0,1.0,0.7323,0.8648,0.879,0.6284,0.1427
mar,kin,0.07,46,8,0.0,864,10000,0.0864,1.0,0.8691,0.6588,0.0002,0.5529999999999999,0.27899999999999997
mar,kir,0.22,10,44,0.0,10000,10000,1.0,1.0,0.5549,0.626,0.5456,0.5986,0.1343
mar,kur,0.24,6,48,0.0,4006,10000,0.4006,1.0,0.7699,0.8691,0.0002,0.6284,0.1811
mar,lao,0.01,53,1,0.0,521,10000,0.0521,1.0,0.7788,0.6068,0.0002,0.4997,0.1485
mar,mlt,0.06,47,7,0.0,1390,10000,0.139,1.0,0.8831,0.6366,0.0002,0.5422,0.3185
mar,mya,0.03,49,5,0.0,3282,10000,0.3282,1.0,0.5871,0.5471,0.5228,0.4475,0.092
mar,nld,0.14,31,23,0.0,10000,10000,1.0,0.9,0.6994,0.6118,0.0002,0.5625,0.3596
mar,nya,0.04,48,6,0.0,237,10000,0.0237,1.0,0.8995,0.9422,0.0002,0.6284,0.3013
mar,pan,0.36,4,50,0.0,7902,10000,0.7902,0.5714,0.5316,0.4246,0.0002,0.3531,0.0674
mar,pol,0.15,27,27,0.0,10000,10000,1.0,0.8333,0.6739,0.627,0.6162,0.5464,0.3134
mar,por,0.13,34,20,0.0,10000,10000,1.0,0.9333,0.765,0.593,0.0002,0.4726,0.3968
mar,ron,0.17,22,32,0.0002,10000,10000,1.0,0.8889,0.7443,0.6145,0.6409999999999999,0.4744,0.2859
mar,rus,0.03,49,5,0.0,10000,10000,1.0,0.8,0.6738,0.6634,0.6162,0.6018,0.2008
mar,sna,0.13,34,20,0.0,592,10000,0.0592,1.0,0.9078,0.677,0.0002,0.5638,0.3223
mar,som,0.09,44,10,0.0,1246,10000,0.1246,1.0,0.6892,0.575,0.5687,0.4513,0.1861
mar,spa,0.2,17,37,0.0,10000,10000,1.0,0.9231,0.7689,0.6792,0.5922,0.5499,0.3852
mar,swa,0.18,20,34,0.0005,10000,10000,1.0,1.0,0.6704,0.6641,0.0002,0.6284,1.0
mar,swe,0.16,24,30,0.0,10000,10000,1.0,0.8571,0.7479,0.6138,0.0002,0.5352,0.3294
mar,tam,0.22,10,44,0.0,10000,10000,1.0,1.0,0.4878,0.4122,0.0002,0.3687,0.0428
mar,tel,0.38,2,52,0.0,5991,10000,0.5991,1.0,0.5199,0.4486,0.6409999999999999,0.3556,0.0136
mar,tgk,0.15,27,27,0.0,10000,10000,1.0,0.8,0.723,0.8435,0.0002,0.6284,0.1225
mar,tgl,0.16,24,30,0.0001,10000,10000,1.0,1.0,0.8220000000000001,0.6439,0.5922,0.4531,0.2412
mar,tha,0.11,39,15,0.0003,10000,10000,1.0,1.0,0.8807,0.6247,0.5687,0.3767,0.1297
mar,tir,0.02,52,2,0.0,81,10000,0.0081,1.0,0.762,0.6126,0.0002,0.5354,0.2011
mar,tuk,0.19,19,35,0.0001,1152,10000,0.1152,1.0,0.5988,0.7879999999999999,0.879,0.6284,0.1364
mar,tur,0.22,10,44,0.0,10000,10000,1.0,1.0,0.6354,0.6194,0.5922,0.5638,0.2421
mar,ukr,0.23,8,46,0.0,10000,10000,1.0,0.8333,0.615,0.5666,0.0002,0.5248,0.2881
mar,uig,0.12,37,17,0.0,1167,10000,0.1167,1.0,0.6068,0.7975,0.7877,0.6284,0.1437
mar,uzb,0.13,34,20,0.0,10000,10000,1.0,1.0,0.6704,0.6641,0.0002,0.6284,1.0
mar,vie,0.14,31,23,0.0001,10000,10000,1.0,1.0,0.8456,0.6851,0.5456,0.5522,0.1587
mar,xho,0.03,49,5,0.0,218,10000,0.0218,1.0,0.88,0.6551,0.0002,0.5351,0.3758
mar,yor,0.18,20,34,0.0005,7227,10000,0.7227,1.0,0.9218,0.6743,0.5922,0.4407,0.3982
mar,zul,0.12,37,17,0.0,462,10000,0.0462,1.0,0.8245,0.7119,0.5228,0.5774,0.3432
pan,amh,0.26,5,49,0.0,2028,7902,0.2566438876233865,1.0,0.5354,0.5676,0.5687,0.5241,0.212
pan,ben,0.29,4,50,0.0,10000,7902,1.2655024044545684,0.625,0.5316,0.4565,0.6162,0.3369,0.0784
pan,cat,0.12,26,28,0.00012655024044545683,10000,7902,1.2655024044545684,0.9091,0.6717,0.5762,0.6162,0.4574,0.322
pan,ceb,0.05,44,10,0.0,10000,7902,1.2655024044545684,1.0,0.9337,0.6819,0.0002,0.5457,0.2796
pan,ckb,0.16,14,40,0.0,6279,7902,0.7946089597570235,0.75,0.8270000000000001,0.8945,0.0002,0.5732,0.1422
pan,deu,0.14,19,35,0.0,10000,7902,1.2655024044545684,0.8571,0.5729,0.5773,0.5456,0.5228,0.2816
pan,fra,0.09,36,18,0.0,10000,7902,1.2655024044545684,0.9375,0.6008,0.5547,0.5456,0.4609,0.3204
pan,hau,0.18,8,46,0.00012655024044545683,1071,7902,0.13553530751708429,1.0,0.7067,0.6512,0.5456,0.562,0.3584
pan,hin,0.49,1,53,0.0,10000,7902,1.2655024044545684,0.625,0.3348,0.3754,0.5922,0.3253,0.0287
pan,hun,0.1,32,22,0.0,10000,7902,1.2655024044545684,1.0,0.5197,0.5325,0.5922,0.4758,0.2549
pan,ilo,0.07,41,13,0.00012655024044545683,3549,7902,0.4491268033409264,1.0,0.7197,0.5822,0.0002,0.4987,0.2429
pan,ind,0.2,7,47,0.0,10000,7902,1.2655024044545684,1.0,0.6868,0.6033,0.5687,0.4715,0.2758
