Target lang,Transfer lang,Accuracy,Rank,Accuracy level,Entity overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
uig,swa,0.19,22,32,0.0119965724078834,10000,1167,8.56898029134533,1.0,0.784,0.6645,0.5049,0.5,0.275
uig,swe,0.12,40,14,0.0,10000,1167,8.56898029134533,1.0,0.7289,0.643,0.3862,0.5308,0.1779
uig,tam,0.16,33,21,0.0,10000,1167,8.56898029134533,1.0,0.5605,0.5114,0.4788,0.5,0.1485
uig,tel,0.21,14,40,0.0,5991,1167,5.133676092544987,1.0,0.5499,0.533,0.4477,0.5702,0.1228
uig,tgk,0.22,8,46,0.0,10000,1167,8.56898029134533,1.0,0.6667,0.5611,0.4278,0.3498,0.0444
uig,tgl,0.21,14,40,0.0025706940874035,10000,1167,8.56898029134533,1.0,0.7351,0.6099,0.3862,0.439,0.2042
uig,tha,0.1,47,7,0.0,10000,1167,8.56898029134533,1.0,0.842,0.6936,0.4788,0.4723,0.1541
uig,tir,0.05,50,4,0.0,81,1167,0.0694087403598971,1.0,0.5657,0.5188,0.5273,0.5378,0.1972
uig,tuk,0.22,8,46,0.0077120822622107,1152,1167,0.987146529562982,0.5319,0.5227,0.448,0.4477,0.29,0.0772
uig,tur,0.32,1,53,0.0025706940874035,10000,1167,8.56898029134533,0.5804,0.595,0.5349,0.4477,0.525,0.1552
uig,ukr,0.2,18,36,0.0,10000,1167,8.56898029134533,1.0,0.6727,0.5859,0.4477,0.494,0.1689
uig,uzb,0.29,2,52,0.001713796058269,10000,1167,8.56898029134533,0.4601,0.4175,0.4524,0.5049,0.5122,0.0409
uig,vie,0.12,40,14,0.0034275921165381,10000,1167,8.56898029134533,1.0,0.8331,0.7224,0.5469,0.5871,0.1519
uig,xho,0.05,50,4,0.001713796058269,218,1167,0.1868037703513282,1.0,0.7564,0.6262,0.5273,0.4646,0.3591
uig,yor,0.17,30,24,0.014567266495287,7227,1167,6.19280205655527,1.0,0.8315,0.6906,0.5064,0.4438,0.3139
uig,zul,0.11,45,9,0.0008568980291345,462,1167,0.3958868894601542,1.0,0.7606,0.663,0.6127,0.5102,0.3381
